disciplina_id;gran_area_codigo;gran_area_descripcion;area_codigo;area_descripcion;disciplina_codigo;disciplina_descripcion
81;2;INGENIERÍAS Y TECNOLOGÍAS;2.5;Ingeniería de los Materiales;2.5.4;Compuestos (incluye laminados, plásticos reforzados, fibras naturales y sintéticas combinadas, etc.)
82;2;INGENIERÍAS Y TECNOLOGÍAS;2.5;Ingeniería de los Materiales;2.5.5;Papel y Madera
83;2;INGENIERÍAS Y TECNOLOGÍAS;2.5;Ingeniería de los Materiales;2.5.6;"Textiles (incluye tintas sintéticas, colores y fibras, pero los materiales en nanoescala van en 2.10 ""Nanotecnología"" y los biomateriales en 2.9 ""Biotecnología Industrial"")"
84;2;INGENIERÍAS Y TECNOLOGÍAS;2.6;Ingeniería Médica;2.6.0;SIN DATOS
85;2;INGENIERÍAS Y TECNOLOGÍAS;2.6;Ingeniería Médica;2.6.1;Ingeniería Médica
86;2;INGENIERÍAS Y TECNOLOGÍAS;2.6;Ingeniería Médica;2.6.2;"Tecnología de Laboratorios Médicos (incluye el análisis de muestras de laboratorio y diagnósticos tecnológicos, los biomateriales van en ""Biotecnología Industrial"")"
87;2;INGENIERÍAS Y TECNOLOGÍAS;2.7;Ingeniería del Medio Ambiente;2.7.0;SIN DATOS
88;2;INGENIERÍAS Y TECNOLOGÍAS;2.7;Ingeniería del Medio Ambiente;2.7.1;Ingeniería Medioambiental y Geológica, Geotécnicas
89;2;INGENIERÍAS Y TECNOLOGÍAS;2.7;Ingeniería del Medio Ambiente;2.7.2;Ingeniería del Petróleo, Energía y Combustibles
90;2;INGENIERÍAS Y TECNOLOGÍAS;2.7;Ingeniería del Medio Ambiente;2.7.3;Sensores Remotos
91;2;INGENIERÍAS Y TECNOLOGÍAS;2.7;Ingeniería del Medio Ambiente;2.7.4;Minería y Procesamiento Mineral
92;2;INGENIERÍAS Y TECNOLOGÍAS;2.7;Ingeniería del Medio Ambiente;2.7.5;Ingeniería Marina, Ingeniería Naval
93;2;INGENIERÍAS Y TECNOLOGÍAS;2.7;Ingeniería del Medio Ambiente;2.7.6;Ingeniería Oceanográfica
94;2;INGENIERÍAS Y TECNOLOGÍAS;2.8;Biotecnología del Medio Ambiente;2.8.0;SIN DATOS
95;2;INGENIERÍAS Y TECNOLOGÍAS;2.8;Biotecnología del Medio Ambiente;2.8.1;Biotecnología Medioambiental
96;2;INGENIERÍAS Y TECNOLOGÍAS;2.8;Biotecnología del Medio Ambiente;2.8.2;Bioremediación, Diagnóstico Biotecnológico en Gestión Medioambiental (chips de ADN y aparatos de biodetección)
97;2;INGENIERÍAS Y TECNOLOGÍAS;2.8;Biotecnología del Medio Ambiente;2.8.3;Ética relacionada con Biotecnología Medioambiental
98;2;INGENIERÍAS Y TECNOLOGÍAS;2.9;Biotecnología Industrial;2.9.0;SIN DATOS
99;2;INGENIERÍAS Y TECNOLOGÍAS;2.9;Biotecnología Industrial;2.9.1;Biotecnología Industrial
100;2;INGENIERÍAS Y TECNOLOGÍAS;2.9;Biotecnología Industrial;2.9.2;Bioprocesamiento Tecnológico, Biocatálisis, Fermentación
101;2;INGENIERÍAS Y TECNOLOGÍAS;2.9;Biotecnología Industrial;2.9.3;Bioproductos, Biomateriales, Bioplásticos, Biocombustibles, Bioderivados, etc.
102;2;INGENIERÍAS Y TECNOLOGÍAS;2.10;Nanotecnología;2.10.0;SIN DATOS
103;2;INGENIERÍAS Y TECNOLOGÍAS;2.10;Nanotecnología;2.10.1;Nano-materiales (producción y propiedades)
104;2;INGENIERÍAS Y TECNOLOGÍAS;2.10;Nanotecnología;2.10.2;"Nano-procesamiento (aplicaciones en nanoescala, los biomateriales van en 2.9 ""Biotecnología Industrial"")"
